date,symbol,open,high,low,close,adjusted_close,volume,currency
2018-01-01,BND,80.5096,80.6572,79.9129,80.1533,80.1533,1863414,USD
2018-01-01,GLD,121.9392,122.1288,121.3677,121.8914,121.8914,1739383,USD
2018-01-01,MSFT,86.4208,86.7253,86.0442,86.0548,86.0548,10702743,USD
2018-01-01,NVDA,49.4169,49.6274,49.233,49.485,49.485,12598091,USD
2018-01-01,QQQ,159.4051,160.3696,158.6729,159.4161,159.4161,10415947,USD
2018-01-01,SPY,267.2855,269.3895,265.7294,267.9822,267.9822,5051689,USD
2018-01-02,BND,80.273,80.4759,79.6337,80.2325,80.2325,2097659,USD
2018-01-02,GLD,120.2187,120.7655,119.5876,119.9361,119.9361,2547376,USD
2018-01-02,MSFT,84.069,84.1177,83.8683,84.0955,84.0955,10906806,USD
2018-01-02,NVDA,50.116,50.3067,49.935,50.0562,50.0562,13708652,USD
2018-01-02,QQQ,161.9085,162.0847,161.1474,161.1672,161.1672,7002834,USD
2018-01-02,SPY,264.34,264.8822,263.4761,264.2555,264.2555,7418817,USD
2018-01-03,BND,80.0586,80.3942,79.7393,80.2145,80.2145,2179386,USD
2018-01-03,GLD,120.9644,121.6297,120.2083,121.4533,121.4533,2992417,USD
2018-01-03,MSFT,84.2236,84.6221,83.9772,84.5321,84.5321,12427161,USD
2018-01-03,NVDA,47.8796,48.3279,47.8326,47.955,47.955,9730173,USD
2018-01-03,QQQ,163.9569,164.1846,162.9381,163.4953,163.4953,7896504,USD
2018-01-03,SPY,267.4286,268.2838,265.2062,266.9096,266.9096,11777764,USD
2018-01-04,BND,79.9583,80.1726,79.8683,79.9672,79.9672,1515110,USD
2018-01-04,GLD,123.6704,123.8527,122.3776,122.8835,122.8835,1771974,USD
2018-01-04,MSFT,84.5958,85.4574,84.2236,84.845,84.845,9638386,USD
2018-01-04,NVDA,49.7336,49.7741,49.4056,49.7493,49.7493,9036897,USD
2018-01-04,QQQ,164.7958,165.407,164.5602,164.8233,164.8233,14260825,USD
2018-01-04,SPY,264.727,264.7597,262.9927,264.4832,264.4832,9826777,USD
2018-01-05,BND,80.0264,80.1699,79.9932,80.0716,80.0716,1911049,USD
2018-01-05,GLD,120.713,121.1003,120.5394,120.7401,120.7401,1196369,USD
2018-01-05,MSFT,84.1085,84.2961,83.56,84.2428,84.2428,11008291,USD
2018-01-05,NVDA,49.2513,49.626,49.0027,49.4964,49.4964,8600211,USD
2018-01-05,QQQ,165.9296,166.5066,164.929,165.6867,165.6867,11740978,USD
2018-01-05,SPY,263.5809,265.7909,262.9124,264.0304,264.0304,8607813,USD
2018-01-08,BND,80.3427,80.5266,79.986,80.3013,80.3013,3224190,USD
2018-01-08,GLD,121.0038,121.5254,120.3266,121.2398,121.2398,1619041,USD
2018-01-08,MSFT,83.1467,83.3736,82.8578,82.878,82.878,19965377,USD
2018-01-08,NVDA,47.8482,47.961,47.741,47.9057,47.9057,8343015,USD
2018-01-08,QQQ,163.7692,164.6494,162.5587,163.6166,163.6166,11567767,USD
2018-01-08,SPY,263.444,264.5231,261.9788,263.0938,263.0938,11627493,USD
2018-01-09,BND,80.479,80.8746,80.2236,80.4267,80.4267,2133088,USD
2018-01-09,GLD,120.4957,121.5697,120.0364,120.791,120.791,1613758,USD
2018-01-09,MSFT,81.3072,81.7197,80.9847,81.4753,81.4753,7683553,USD
2018-01-09,NVDA,50.0949,50.2062,49.8962,50.0571,50.0571,9861135,USD
2018-01-09,QQQ,161.1607,161.7619,160.5856,161.4882,161.4882,9581196,USD
2018-01-09,SPY,269.1779,269.8459,269.0275,269.4516,269.4516,12405971,USD
2018-01-10,BND,80.0047,80.6396,79.6815,80.3161,80.3161,1808409,USD
2018-01-10,GLD,119.4947,120.5628,117.879,118.7494,118.7494,1563672,USD
2018-01-10,MSFT,78.6854,78.6962,78.5277,78.679,78.679,7530805,USD
2018-01-10,NVDA,51.6495,51.796,51.2059,51.6696,51.6696,6879176,USD
2018-01-10,QQQ,158.5852,159.5584,157.5768,159.0343,159.0343,9549238,USD
2018-01-10,SPY,272.8283,273.0369,272.6846,272.906,272.906,12557179,USD
2018-01-11,BND,80.4279,80.7597,80.3548,80.5733,80.5733,1166279,USD
2018-01-11,GLD,118.3549,118.3926,118.2327,118.2365,118.2365,3332233,USD
2018-01-11,MSFT,77.3099,77.4468,77.2728,77.3614,77.3614,14020915,USD
2018-01-11,NVDA,52.7952,52.8742,52.731,52.7867,52.7867,16086948,USD
2018-01-11,QQQ,165.0924,165.1031,163.7871,164.3541,164.3541,5989346,USD
2018-01-11,SPY,275.6082,275.8848,274.2171,275.2345,275.2345,10416854,USD
2018-01-12,BND,80.5106,81.1426,80.0363,80.6623,80.6623,1446875,USD
2018-01-12,GLD,117.8682,118.8915,117.7175,118.1991,118.1991,1000373,USD
2018-01-12,MSFT,76.1259,76.3939,75.9681,76.1739,76.1739,6762478,USD
2018-01-12,NVDA,53.5443,53.8479,53.2487,53.464,53.464,6898051,USD
2018-01-12,QQQ,160.9471,161.8054,160.5523,161.4303,161.4303,10924749,USD
2018-01-12,SPY,276.5869,277.6022,274.5956,275.9857,275.9857,10239346,USD
2018-01-15,BND,80.5817,81.0604,80.2298,80.4742,80.4742,2207215,USD
2018-01-15,GLD,116.868,117.4474,116.4572,117.0191,117.0191,3073652,USD
2018-01-15,MSFT,76.1454,76.2084,75.9229,76.16,76.16,10982219,USD
2018-01-15,NVDA,51.5543,51.7411,51.1903,51.3566,51.3566,18806221,USD
2018-01-15,QQQ,162.8674,163.5114,162.8215,163.0046,163.0046,6246436,USD
2018-01-15,SPY,277.3905,277.7709,276.3881,276.9534,276.9534,8482071,USD
2018-01-16,BND,79.843,80.4548,78.8825,79.9526,79.9526,1839619,USD
2018-01-16,GLD,116.6548,117.5773,115.9623,116.7907,116.7907,1856024,USD
2018-01-16,MSFT,77.0412,77.5518,76.6575,76.9131,76.9131,6149999,USD
